name,genre,length,tempo,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_var,mfcc2_var,mfcc3_var,mfcc4_var,mfcc5_var,mfcc6_var,mfcc7_var,mfcc8_var,mfcc9_var,mfcc10_var,mfcc11_var,mfcc12_var,mfcc13_var,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,rms_mean,rms_var,mel_mean,mel_var,contrast_mean,contrast_var,tonnetz_mean,tonnetz_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var
blues_00010,blues,30,161.4990234,-173.71587,137.14024,-23.767647,26.99174,-16.687662,4.2143745,-12.582618,5.8545594,-2.884673,-1.1866813,-1.9771539,1.800155,-3.0044112,8138.2407,1082.1229,1027.1763,495.60062,289.83563,159.72736,150.5036,82.49844,108.591225,65.604515,55.4809,57.96407,93.71366,0.30396512,0.094712496,1410.675357,205315.1324,1512.971789,144928.9709,2767.508265,1425856.593,0.062980723,0.000441223,0.14286481,0.009196141,6.6661086,4632.27,21.08788514,67.8709604,0.013712397,0.012064636,-0.000109394,0.021780536,8.55E-05,0.003974632
blues_00011,blues,30,161.4990234,-287.92355,123.97102,5.456122,33.684544,1.0892012,14.704721,-4.898606,8.6532755,0.7827978,6.5667357,-4.87944,-3.1806588,-5.5570035,5935.973,993.7331,302.1008,344.13184,441.54025,235.5728,149.25542,189.14641,148.787,114.196266,93.83295,84.24376,65.37901,0.36580706,0.10200662,1353.329119,511903.7113,1757.331004,220219.0002,2882.315904,2932662.465,0.043958918,0.001896141,0.065684564,0.002500545,1.6105276,404.30334,20.7979225,53.92633175,0.05098672,0.020596075,6.74E-06,0.00501402,-1.26E-05,0.000634041
blues_00012,blues,30,92.28515625,-207.20874,132.79709,-15.460706,60.99486,0.71024114,12.461279,1.1609278,-1.5278946,-17.901815,8.369234,-2.4538186,-0.59668887,0.3688165,4578.1455,665.3489,935.92395,330.60004,314.05118,101.190994,108.01185,111.69128,96.41997,94.78233,139.7199,92.63354,86.18086,0.2693326,0.0939093,1361.100406,257055.0987,1567.600772,44930.89997,2739.791766,952584.5604,0.069123921,0.002381275,0.11902389,0.004056849,3.9497774,1469.014,22.12709984,45.44894742,-0.021880492,0.014193158,-3.16E-06,0.012537252,-5.94E-05,0.002633793
blues_00013,blues,30,107.6660156,-209.7822,124.46592,10.285805,47.030174,6.4823856,15.417021,-2.010078,6.735786,-21.54862,10.7284975,-5.532432,-2.202038,-3.051727,1969.8452,542.4456,661.9417,148.28586,101.97602,146.30325,69.4292,76.00194,96.43981,95.85311,90.72551,59.21689,52.38352,0.26472628,0.09117027,1324.331754,171640.5979,1827.384464,78116.61799,2710.366944,1075616.79,0.051417301,0.001256015,0.11318897,0.004191448,3.9467058,2270.291,21.41602695,50.83105022,-0.038550848,0.006959546,-1.29E-05,0.012687887,-6.41E-05,0.001604324
blues_00014,blues,30,151.9990809,-305.69858,113.04164,12.1149,45.039444,17.739239,14.59463,4.1571283,0.24009794,-7.013088,13.649843,8.923058,1.3016899,5.952128,8198.813,681.4011,1463.6697,224.74265,249.00208,154.72269,157.6241,166.76405,97.56585,76.86334,89.99378,62.738995,64.35734,0.32904086,0.1080476,1172.276301,147284.8039,1705.858377,96366.98167,2345.777482,877026.8914,0.045045835,0.00156103,0.06693625,0.002708795,1.4834483,326.4231,21.61730176,42.60751071,-0.011848466,0.008028505,-0.000117512,0.00471707,-0.000199766,0.001200469
blues_00015,blues,30,99.38401442,-238.53304,120.08829,-4.224556,42.310043,5.9163294,13.914182,5.3575773,1.9037088,-16.92988,12.33931,3.9409604,-1.3906769,0.014792026,4382.781,728.52594,979.5507,383.17078,298.8771,117.46454,119.66445,143.89613,89.88304,76.274216,81.668724,60.912,60.609455,0.27034652,0.09533811,1420.411479,200099.3338,1730.917102,81321.46445,2930.240615,700506.7357,0.06371768,0.001942099,0.080638945,0.002831337,1.9545165,569.0775,21.36432096,44.75213369,-0.01564556,0.007435256,-1.40E-05,0.004730059,-8.55E-05,0.002335559
blues_00016,blues,30,103.359375,-233.79489,120.66705,-3.167561,39.53927,3.858855,18.83967,-3.6889172,4.431845,-14.975374,17.571033,1.8447447,2.538607,-1.2386857,4961.9673,562.2368,1208.0558,396.44153,283.7276,156.19809,100.37777,111.57426,101.503746,102.174225,108.61663,66.41245,65.0766,0.30829644,0.1003423,1455.042471,152403.6598,1825.909025,116846.1112,3009.965132,1011007.161,0.061350725,0.001419584,0.08141902,0.00264167,1.9274398,294.88458,21.05721566,50.12765091,0.007163301,0.00764182,-2.48E-05,0.004509391,-0.00010908,0.002415997
blues_00017,blues,30,161.4990234,-245.75414,140.48093,-2.7714388,60.42012,18.9254,9.837099,3.566577,0.5361874,-16.367361,6.6298547,7.269149,-4.0157304,1.6074536,5194.7935,800.78485,795.8157,360.8053,234.98946,99.75718,118.61018,93.123634,129.03683,105.27246,96.74039,71.34584,72.96798,0.30223948,0.09343901,1088.778116,231785.6264,1410.835953,69785.77653,2134.753758,1081844.544,0.048323971,0.000845654,0.09325911,0.002151823,2.410738,507.49966,21.71944028,40.41609991,0.002998466,0.008093784,-1.13E-05,0.006768294,-7.80E-05,0.001524235
blues_00018,blues,30,83.35433468,-252.51877,104.93699,15.316828,42.67347,6.7626176,21.623577,-1.3132769,5.691933,-16.619516,12.161626,-1.96795,1.969765,-0.88895845,2874.9692,604.2528,661.88116,162.583,92.889244,117.17877,73.517586,100.46526,125.3279,123.602264,52.15249,64.68708,48.676605,0.2700793,0.09769908,1537.560919,193292.826,2054.224165,145539.2296,3495.462197,1829696.32,0.056131936,0.001723155,0.07964064,0.002956753,2.0941286,1024.5231,21.71347423,55.06405908,-0.025306518,0.009331945,-4.42E-05,0.006937811,-0.00020031,0.00104351
blues_00019,blues,30,123.046875,-236.6889,138.40428,-4.923575,47.647713,5.1523767,8.895284,0.48285624,-3.8016675,-14.974891,10.432587,-0.35396168,0.78834563,1.7829303,5581.0386,536.6804,1167.7819,311.42264,466.60547,91.67126,98.10478,158.89072,77.30144,104.572296,134.39223,80.471214,78.01248,0.25735947,0.09602575,1195.413398,249722.3648,1480.944264,46905.406,2235.211484,1208625.586,0.058871148,0.001799158,0.09763429,0.00257872,2.5654411,525.7487,21.48130478,42.43106669,0.011523051,0.009902021,-2.68E-05,0.00659974,-0.0001657,0.002579626
blues_00020,blues,30,135.9991776,-230.42657,127.100525,7.145355,39.784317,1.9449425,17.40534,-5.639429,8.25213,-18.104385,13.842513,-3.760913,2.5718598,-4.3208055,2986.131,397.42587,599.62573,175.5543,115.7824,100.240906,79.46398,69.348114,59.99348,72.724945,71.60434,74.565765,62.63651,0.30279943,0.09436096,1389.952284,102922.3538,1911.314399,88742.93356,3005.740158,946450.7363,0.052560151,0.000615624,0.07535405,0.002488372,1.7878653,353.08633,20.06997128,51.73690253,0.013702139,0.008285282,-5.17E-06,0.00455997,-9.02E-05,0.001485934
blues_00021,blues,30,99.38401442,-264.67847,138.85834,11.156023,48.538254,14.895924,20.584368,3.205142,1.2625881,-15.847021,15.986576,3.3616717,-1.5137409,1.892155,6345.582,1002.2855,1284.3698,371.27927,248.24467,130.10916,120.0555,104.491005,95.40044,85.191086,79.19172,71.92619,70.07034,0.3211421,0.10328489,1046.727507,291681.5076,1480.579161,70101.96388,1831.122261,1349312.312,0.047937352,0.002331948,0.101118095,0.00323196,2.84709,558.41315,22.15017831,41.85047667,-0.043999793,0.009761201,-7.19E-06,0.008324291,-7.78E-05,0.002212396
blues_00022,blues,30,99.38401442,-233.85751,136.17209,3.2713182,48.931213,8.685134,13.97951,5.354868,0.39087027,-13.504575,16.856106,5.130938,-2.23188,3.9640331,6495.1147,959.6316,1162.2152,384.2662,304.38773,165.42633,105.526024,127.749626,151.53041,82.79495,114.41353,77.30098,65.94775,0.306442,0.09801651,1156.202363,314244.4826,1497.758884,59086.45164,2170.511875,1331126.02,0.058613402,0.002867746,0.1134315,0.003686847,3.4480386,861.6113,22.28595245,46.14233278,-0.014550877,0.010039778,-8.82E-06,0.009847832,-5.02E-05,0.003196456
blues_00023,blues,30,95.703125,-227.26886,137.7307,-14.493466,63.555702,5.612641,11.98464,1.8855519,-1.8633765,-7.6205554,-2.4471745,-2.8867247,-9.429529,-10.923913,4148.341,506.42682,1246.3402,210.88124,152.67918,93.664665,102.624985,87.26729,97.58157,97.68807,104.081825,87.9641,115.4956,0.28072092,0.09116531,1210.457126,131830.443,1498.054609,51648.62434,2522.54308,610244.5789,0.052482676,0.001088295,0.101914905,0.003560304,2.953671,436.02704,21.82806578,37.58881742,0.017229329,0.015222836,-2.56E-05,0.008697683,-0.000114461,0.002101325
blues_00024,blues,30,103.359375,-274.31186,130.41371,-6.3928003,70.405014,13.269141,9.461284,7.7256403,-1.247491,-0.5775881,-2.3025885,3.783147,0.08482342,-0.93943614,5919.1855,500.6537,1342.4633,311.40585,230.56917,155.49146,121.5168,150.22717,94.16158,68.89306,76.78567,73.574776,126.72962,0.26310804,0.09998006,1120.39098,176408.8362,1447.852625,53821.61399,2325.127607,1139107.871,0.0472979,0.001079206,0.08696161,0.002512089,2.1956873,357.60596,21.71705066,35.80481217,-0.02255565,0.01174253,-6.85E-06,0.006558119,-9.83E-05,0.001715225
blues_00025,blues,30,92.28515625,-249.2894,130.98703,0.6773901,66.68578,17.897806,4.623737,6.5983086,1.2490499,1.4163893,-1.5791419,-0.9626631,-3.5719957,-2.9279816,3981.3381,338.3749,1580.2117,298.57275,183.48569,173.33118,96.4496,98.33234,75.7444,91.78507,101.23713,85.181595,86.33533,0.29098073,0.09107313,1109.721379,138691.397,1463.53907,37834.71857,2243.744766,838855.8214,0.051724933,0.001339291,0.089179605,0.003116564,2.4107516,1079.8081,21.02326151,39.69170368,-0.030938807,0.009428816,-6.91E-06,0.006755062,-4.62E-06,0.001712407
blues_00026,blues,30,83.35433468,-284.69736,108.8052,9.088283,51.22274,18.091757,7.612261,8.779499,2.362829,0.005786341,2.250966,4.2051,-3.293317,1.6082981,6197.203,676.24036,1446.0851,295.75232,210.40501,181.81789,121.39312,103.10531,93.51632,106.17423,84.32891,97.701706,68.53465,0.27866608,0.09501959,1198.754499,161883.0348,1573.085113,83785.46999,2478.826678,991671.4783,0.051987592,0.001487689,0.076938555,0.00591825,2.6595376,5127.7607,21.95733978,38.81437323,-0.020291745,0.012297121,-3.12E-05,0.008411982,-6.27E-05,0.001919674
blues_00027,blues,30,95.703125,-228.25067,130.3444,-23.291288,70.1721,1.1422709,7.6024485,0.90993816,1.9782512,-6.167008,-9.396024,-2.5628405,-4.5228944,-0.2629505,2813.7727,689.3132,927.4456,396.89307,181.81033,153.58536,100.306114,88.57641,61.917267,85.992905,107.9189,59.029335,67.83878,0.28870454,0.09416199,1391.443904,200153.1432,1494.850834,43500.50391,2811.141335,541210.8655,0.072358973,0.00254286,0.09572528,0.002193938,2.3652198,325.18396,23.02192458,34.42691905,0.010122357,0.023534744,-1.31E-05,0.007730341,-8.92E-05,0.001537504
blues_00028,blues,30,103.359375,-248.98674,139.0672,-16.2825,57.117985,20.192654,10.188038,4.5439763,0.33127883,-7.8779507,-3.4479156,-2.646489,-2.8313825,-0.90216666,4964.012,398.1533,1166.4851,328.96716,158.3224,133.3197,126.42127,118.3593,69.86435,68.50501,79.38818,66.70068,95.47379,0.2760109,0.09885108,1115.541195,105590.0003,1398.509384,52819.385,2290.319484,638308.461,0.048028432,0.000817036,0.09958247,0.004105067,2.9718246,668.1902,21.40187791,38.31109591,-0.016287197,0.01144898,-2.30E-06,0.008186068,-2.90E-05,0.002629116
blues_00029,blues,30,129.1992188,-233.75082,101.178276,17.649767,23.733778,2.0820332,25.941923,-16.958849,15.098034,-22.278715,4.3951225,-23.207403,-6.057175,-5.068857,3688.173,885.6455,375.47626,219.35905,227.6856,135.67427,339.3887,113.49167,98.38819,122.584,167.40906,81.73056,80.94343,0.280554,0.10566009,1649.287754,712532.7956,2190.221834,185313.282,3761.610587,4160715.066,0.052926362,0.003248599,0.124669306,0.004816713,4.777629,1974.9471,26.45613484,79.07631073,-1.45E-05,0.018867164,-1.38E-06,0.016770612,-2.33E-06,0.001320873
blues_00030,blues,30,151.9990809,-206.96808,117.792984,23.23588,28.297827,-1.1239153,18.862036,-21.949682,17.849985,-25.585644,2.1299253,-17.794416,-8.015903,-17.607277,2024.88,763.9999,281.31088,261.38812,195.00305,161.00206,212.00826,137.38489,200.23985,103.03088,72.98914,60.389114,72.86487,0.26312938,0.09437653,1378.965776,551395.1987,2003.585216,269771.1608,3015.056768,4576870.004,0.039375801,0.000946148,0.17003015,0.003194082,7.565453,3488.0305,26.84350834,74.36408164,0.034917369,0.027300145,1.64E-06,0.027230939,5.39E-06,0.00153557
blues_00031,blues,30,151.9990809,-221.83113,110.83949,18.616821,30.920137,3.2959225,22.587362,-20.416351,12.118737,-26.350498,-4.3674855,-26.413198,-13.045098,-12.654766,2512.0027,586.3444,190.01868,180.62456,221.5046,100.64534,318.4843,114.58094,108.650635,102.306984,128.5556,107.557556,146.32324,0.2536384,0.09931722,1331.036591,352283.5012,1973.648646,234479.4172,2900.17413,3709681.588,0.042967238,0.001096517,0.1515323,0.003194224,6.1721663,2275.2383,27.92720431,68.50948947,0.010619433,0.034899483,-4.94E-07,0.023259878,1.50E-06,0.000850184
blues_00032,blues,30,123.046875,-288.8077,105.89604,18.777039,23.710392,5.711881,25.549088,-13.47376,12.428973,-11.942034,1.5714256,-15.63591,-6.6506157,-11.713253,5313.419,830.0834,434.1107,341.7813,380.58536,164.51231,228.24864,125.7541,195.75436,132.40996,126.26095,81.47689,102.09924,0.27626824,0.09739467,1309.664697,756704.2965,1883.062612,284392.7485,2765.658276,4690041.85,0.039393186,0.00316047,0.101156905,0.003935363,3.331284,1011.6918,26.98588431,67.01159265,0.086375672,0.05503563,-2.10E-06,0.012844934,1.19E-06,0.00044508
blues_00033,blues,30,151.9990809,-239.03807,108.65722,34.15189,30.23917,-0.47574338,27.292637,-21.379398,14.150509,-24.510178,-1.8840464,-28.050291,-11.25665,-16.47693,3226.964,821.0204,279.34457,301.7252,236.93358,140.60176,286.85977,139.08746,117.491295,179.24117,127.14598,87.69684,90.46302,0.26082012,0.09485688,1430.598194,701367.8825,2075.652416,275370.8726,3246.755367,5571118.868,0.04196989,0.001440176,0.13312429,0.002250886,4.704769,1256.6962,27.16162336,73.43722372,0.016623741,0.036963379,3.87E-06,0.01695152,-2.19E-06,0.000994366
blues_00034,blues,30,129.1992188,-217.23868,105.792366,15.617071,25.256382,-1.4402744,30.18982,-17.71522,17.318172,-27.209528,4.339167,-20.059492,-10.695944,-14.220667,3598.8252,534.31055,358.48257,219.50215,216.11086,117.58458,223.7632,126.61124,112.305305,177.40924,115.37899,70.951004,105.017136,0.2621187,0.099052005,1536.731078,341154.4551,2157.058612,161035.5295,3600.919892,3714513.049,0.045700404,0.000691565,0.13591798,0.003227667,5.0664325,1402.0842,26.87958465,74.53397763,0.010451952,0.025772874,-8.09E-07,0.016849494,-1.35E-06,0.001754059
blues_00035,blues,30,129.1992188,-171.8102,120.280624,15.327534,21.090452,-5.4192986,24.189468,-24.138222,18.551985,-22.348906,1.3031794,-20.763931,-4.9888506,-17.118929,1941.8174,693.75525,269.31125,146.6018,175.03787,119.29737,145.62578,100.66524,139.48068,115.71823,68.09528,81.4443,86.4855,0.28824988,0.09656212,1507.104729,414238.3916,2096.717628,247054.3084,3405.412741,4185025.596,0.045430186,0.000574303,0.17330876,0.00333937,7.846965,2818.95,26.88077361,71.81575826,0.009855007,0.01465943,1.34E-06,0.026490865,6.26E-06,0.002100331
blues_00036,blues,30,151.9990809,-200.19609,116.34013,18.00621,25.313562,0.29173443,24.192478,-22.255909,11.186425,-26.848732,-7.6384597,-24.889929,-12.015525,-17.017954,2877.1646,484.7833,198.75629,290.8908,179.55032,99.99041,307.06653,95.085365,97.18064,110.71486,123.01922,98.815834,77.6758,0.23319606,0.0948783,1247.408016,263907.794,1907.705672,194512.3399,2621.575814,3027188.916,0.036903783,0.00034874,0.19774859,0.004715233,10.36083,6088.1016,27.3626951,71.02771049,-0.015452535,0.035033394,-1.21E-06,0.03666208,6.10E-06,0.002290261
blues_00037,blues,30,123.046875,-328.68088,102.71113,19.89555,26.732681,7.151481,22.704802,-6.9743266,12.781994,-10.7257805,-0.43366092,-12.373165,-8.907054,-9.2401085,7459.561,632.9105,703.31244,170.31245,252.99715,248.58789,208.53671,155.02681,158.75774,83.674484,110.02354,111.033134,126.25169,0.24868348,0.098003365,1188.101159,369798.509,1682.70739,200378.6027,2339.394187,2995844.745,0.048160329,0.001273131,0.069129966,0.002231509,1.6185097,427.33688,26.61089256,58.0412344,0.00740477,0.030507302,4.39E-06,0.005156824,-1.42E-06,0.000792141
blues_00038,blues,30,129.1992188,-192.69382,111.18816,21.37331,26.392143,-0.64837533,23.48088,-25.470797,16.924429,-16.979984,5.79015,-25.725246,-5.045352,-17.632244,3219.3196,760.0547,298.1621,250.50179,190.51306,170.50955,120.37977,142.1285,190.65277,97.50861,85.88091,73.278404,81.16733,0.26589647,0.09706077,1513.520053,551798.3428,2140.702824,222496.6955,3449.845806,4232430.9,0.044378039,0.0020159,0.1680856,0.003924528,7.576252,3287.686,27.1933489,69.1567818,-0.014041866,0.027252597,2.81E-06,0.027424533,1.52E-05,0.00135308
blues_00039,blues,30,117.4538352,-301.70715,111.53472,21.896408,16.14818,8.19624,22.085075,-8.614954,1.4815574,-17.084373,-8.345809,-17.013063,-10.57562,-15.689096,5068.0493,594.15186,301.87964,242.20598,284.12097,138.37793,280.9182,121.00169,113.2061,113.56682,106.542015,89.26788,78.37574,0.25535825,0.09715161,1151.37803,515028.4044,1709.31659,330344.4596,2312.527683,3922928.104,0.035338789,0.000946324,0.08583747,0.002630764,2.3574095,754.15533,26.36476116,64.68690533,0.017813837,0.060580524,5.74E-08,0.009103836,-3.62E-06,0.000305909
blues_00040,blues,30,117.4538352,-110.284325,90.705605,-2.5283115,74.052734,-11.746768,39.214577,-13.1743,20.531588,-17.167608,12.827254,-21.434446,5.952132,-8.032604,1287.239,230.03955,227.60165,114.1207,113.4523,66.11797,86.384834,50.40351,47.026897,93.40308,41.11529,49.105373,47.12441,0.39779353,0.08048081,2272.517619,202481.8037,2356.845384,50258.63442,5108.277444,581763.9195,0.097657006,0.001382927,0.13483502,0.000778858,4.087852,338.07645,21.29927391,84.16504641,-0.006434543,0.003155368,-0.002389007,0.008112274,-0.004274102,0.004326413
blues_00041,blues,30,129.1992188,-107.18975,88.47057,-4.177788,55.48549,-8.01038,38.416542,-6.402575,28.576523,-19.820787,13.252739,-19.239794,12.076225,-4.583088,1419.5776,379.11514,324.43527,129.51045,106.996544,70.53997,89.45127,85.75231,54.841587,124.81678,68.72075,52.41402,56.83792,0.38709408,0.08544106,2390.771577,306667.8214,2463.374816,80147.55064,5403.758991,954300.583,0.102288875,0.001595845,0.12912002,0.000873219,3.7820003,307.85315,21.78894105,87.34821448,0.001101668,0.007561305,-0.002519921,0.008558904,-0.004282891,0.004035152
blues_00042,blues,30,89.10290948,-159.56772,69.78482,-4.3918796,76.851135,3.9159086,45.167534,-4.867353,32.200516,-9.796341,7.8125114,-21.826967,9.68244,-2.5915892,2440.647,240.24892,515.4823,111.58429,118.92935,41.01623,58.17216,45.098507,68.40437,67.00046,72.39408,40.613186,79.54607,0.37768537,0.09247941,2302.075648,204961.9779,2367.720443,47275.65987,5188.535292,562439.3413,0.097864488,0.001825176,0.11095126,0.00052766,2.7511358,247.76422,23.41701915,74.18299766,-0.019466247,0.02096938,-0.003131716,0.008448267,-0.003696778,0.0019657
blues_00043,blues,30,129.1992188,-109.195,100.62705,-8.620549,47.36422,-6.559237,39.620792,-8.523994,29.564737,-16.583515,13.170685,-24.20932,6.5919027,-8.641899,2207.0964,230.71619,383.04086,83.04543,89.76001,92.42931,91.04487,40.96413,58.576397,113.589516,41.236343,62.99633,43.376667,0.39904937,0.08515018,2155.631296,188191.459,2372.291403,60254.93273,5011.978027,938817.6491,0.087165384,0.001225082,0.12724723,0.00131309,3.7465696,295.5854,20.79564246,88.70305625,-0.004327317,0.005971121,-0.002495336,0.007340504,-0.003988723,0.004680321
blues_00044,blues,30,135.9991776,-109.53234,86.9265,-8.6249895,64.4895,-6.3060346,43.64582,-8.293103,28.546427,-14.081592,8.136636,-21.490427,11.0866165,-5.094468,826.48016,227.93997,278.40164,82.32143,55.121075,38.84475,51.65436,54.91273,77.672844,85.49683,69.56591,95.068825,91.481415,0.39016002,0.086285725,2279.265543,170943.7048,2375.084795,53001.03231,5198.476899,570163.0426,0.092570491,0.00090043,0.136178,0.000466613,4.2109804,467.02676,21.73034372,88.69116738,-0.005197729,0.005094903,-0.002169567,0.010282175,-0.004658458,0.003141634
